ID,Name,Citation,Authors,Number_of_words,Language_ID
21,Japanese vocabulary,"Christopher K. Schmidt. 2009. Japanese vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1975 entries. (Available online at https://wold.clld.org/vocabulary/21)",Christopher K. Schmidt,1975,Japanese
22,Mandarin Chinese vocabulary,"Thekla Wiebusch. 2009. Mandarin Chinese vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 2049 entries. (Available online at https://wold.clld.org/vocabulary/22)",Thekla Wiebusch,2049,MandarinChinese
23,Thai vocabulary,"Titima Suthiwan. 2009. Thai vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 2073 entries. (Available online at https://wold.clld.org/vocabulary/23)",Titima Suthiwan,2073,Thai
24,Vietnamese vocabulary,"Mark Alves. 2009. Vietnamese vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1477 entries. (Available online at https://wold.clld.org/vocabulary/24)",Mark Alves,1477,Vietnamese
25,White Hmong vocabulary,"Martha Ratliff. 2009. White Hmong vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1292 entries. (Available online at https://wold.clld.org/vocabulary/25)",Martha Ratliff,1292,WhiteHmong
26,Ceq Wong vocabulary,"Nicole Kruspe. 2009. Ceq Wong vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 871 entries. (Available online at https://wold.clld.org/vocabulary/26)",Nicole Kruspe,871,CeqWong
27,Indonesian vocabulary,"Uri Tadmor. 2009. Indonesian vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1945 entries. (Available online at https://wold.clld.org/vocabulary/27)",Uri Tadmor,1945,Indonesian
28,Malagasy vocabulary,"Alexander Adelaar. 2009. Malagasy vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1526 entries. (Available online at https://wold.clld.org/vocabulary/28)",Alexander Adelaar,1526,Malagasy
29,Takia vocabulary,"Malcolm Ross. 2009. Takia vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1125 entries. (Available online at https://wold.clld.org/vocabulary/29)",Malcolm Ross,1125,Takia
30,Hawaiian vocabulary,"ʻŌiwi Parker Jones. 2009. Hawaiian vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1306 entries. (Available online at https://wold.clld.org/vocabulary/30)",ʻŌiwi Parker Jones,1306,Hawaiian
31,Gurindji vocabulary,"Patrick McConvell. 2009. Gurindji vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 842 entries. (Available online at https://wold.clld.org/vocabulary/31)",Patrick McConvell,842,Gurindji
32,Yaqui vocabulary,"Zarina Estrada Fernández. 2009. Yaqui vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1384 entries. (Available online at https://wold.clld.org/vocabulary/32)",Zarina Estrada Fernández,1384,Yaqui
33,Zinacantán Tzotzil vocabulary,"Cecil H. Brown. 2009. Zinacantán Tzotzil vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1217 entries. (Available online at https://wold.clld.org/vocabulary/33)",Cecil H. Brown,1217,ZinacantanTzotzil
34,Q'eqchi' vocabulary,"Søren Wichmann and Kerry Hull. 2009. Q'eqchi' vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1774 entries. (Available online at https://wold.clld.org/vocabulary/34)",Søren Wichmann and Kerry Hull,1774,Qeqchi
35,Otomi vocabulary,"Dik Bakker and Ewald Hekking. 2009. Otomi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 2158 entries. (Available online at https://wold.clld.org/vocabulary/35)",Dik Bakker and Ewald Hekking,2158,Otomi
36,Saramaccan vocabulary,"Jeff Good. 2009. Saramaccan vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1103 entries. (Available online at https://wold.clld.org/vocabulary/36)",Jeff Good,1103,Saramaccan
37,Imbabura Quechua vocabulary,"Jorge A. Gómez Rendón. 2009. Imbabura Quechua vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1179 entries. (Available online at https://wold.clld.org/vocabulary/37)",Jorge A. Gómez Rendón,1179,ImbaburaQuechua
38,Kali'na vocabulary,"Odile Renault-Lescure. 2009. Kali'na vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1191 entries. (Available online at https://wold.clld.org/vocabulary/38)",Odile Renault-Lescure,1191,Kalina
39,Hup vocabulary,"Patience Epps. 2009. Hup vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 994 entries. (Available online at https://wold.clld.org/vocabulary/39)",Patience Epps,994,Hup
40,Wichí vocabulary,"Alejandra Vidal and Verónica Nercesian. 2009. Wichí vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1187 entries. (Available online at https://wold.clld.org/vocabulary/40)",Alejandra Vidal and Verónica Nercesian,1187,Wichi
41,Mapudungun vocabulary,"Lucía Golluscio and Adriana Fraguas and Fresia Mellico. 2009. Mapudungun vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1291 entries. (Available online at https://wold.clld.org/vocabulary/41)",Lucía Golluscio and Adriana Fraguas and Fresia Mellico,1291,Mapudungun
